s,a,r,sp
24692,4,0,24692
24692,4,0,25192
25192,3,-25,25192
25192,5,-25,25192
25192,3,-25,25192
25192,3,-25,25193
25193,6,-100,25693
25693,4,0,25694
25694,5,-25,26195
26195,4,0,26196
26196,5,-25,26697
26697,6,-100,26698
26698,3,-25,26699
26699,3,-25,26700
26700,3,-25,26702
26702,4,0,26703
26703,5,-25,26704
26704,4,0,26705
26705,6,-100,27207
27207,4,0,27209
27209,4,0,27210
27210,4,0,27211
27211,5,-25,27213
27213,3,-25,26714
26714,3,-25,26715
26715,4,0,26716
26716,5,-25,26718
26718,6,-100,26719
26719,4,0,26720
26720,4,0,26221
26221,4,0,26222
26222,3,-25,25722
25722,3,-25,25723
25723,3,-25,25223
25223,5,-25,25223
25223,5,-25,25223
25223,3,-25,24723
24723,3,-25,24223
24223,2,-100,23722
23722,5,-25,23721
23721,5,-25,23720
23720,4,0,23720
23720,4,0,23719
23719,4,0,23218
23218,2,-100,22716
22716,5,-25,23215
23215,3,-25,22713
22713,4,0,22712
22712,3,-25,22210
22210,4,0,22208
22208,5,-25,22706
22706,2,-100,22204
22204,2,-100,21702
21702,5,-25,22200
22200,2,-100,21698
21698,5,-25,22196
22196,4,0,22194
22194,4,0,22192
22192,5,-25,22690
22690,5,-25,22688
22688,3,-25,22687
22687,5,-25,23186
23186,4,0,23185
23185,3,-25,23684
23684,4,0,23683
23683,4,0,23682
23682,4,0,24181
24181,2,-100,24181
24181,5,-25,24680
24680,3,-25,24680
24680,2,-100,24680
24680,5,-25,25180
25180,6,-100,25680
25680,6,-100,26181
26181,3,-25,26182
26182,4,0,26183
26183,4,0,26684
26684,4,0,26686
26686,4,0,27187
27187,3,-25,27189
27189,5,-25,27190
27190,6,-100,27692
27692,4,0,28195
28195,5,-25,28197
28197,5,-25,28700
28700,4,0,28702
28702,6,-100,28705
28705,4,0,28708
28708,5,-25,29211
29211,4,0,29213
29213,5,-25,29216
29216,4,0,28719
28719,5,-25,28722
28722,5,-25,28725
28725,4,0,28727
28727,5,-25,28730
28730,4,0,28232
28232,4,0,28235
28235,3,-25,27736
27736,4,0,27238
27238,3,-25,26739
26739,6,-100,26741
26741,6,-100,26742
26742,3,-25,26243
26243,6,-100,26243
26243,5,-25,25744
25744,5,-25,25744
25744,4,0,25245
25245,3,-25,24744
24744,3,-25,24244
24244,5,-25,23743
23743,2,-100,23241
23241,4,0,22740
22740,3,-25,22238
22238,4,0,21736
21736,4,0,21733
21733,3,-25,21231
21231,2,-100,20727
20727,3,-25,20224
20224,3,-25,19720
19720,4,0,19717
19717,2,-100,19212
19212,5,-25,19208
19208,4,0,19204
19204,5,-25,19200
19200,5,-25,19697
19697,2,-100,19193
19193,3,-25,19189
19189,3,-25,19185
19185,5,-25,19681
19681,4,0,19677
19677,2,-100,19674
19674,3,-25,20170
20170,2,-100,20167
20167,4,0,20664
20664,2,-100,20661
20661,3,-25,20658
20658,3,-25,21155
21155,2,-100,21153
21153,4,0,21651
21651,3,-25,22149
22149,2,-100,22647
22647,3,-25,23146
23146,5,-25,23645
23645,4,0,24144
24144,5,-25,25145
25145,6,-100,26145
26145,3,-25,26146
26146,4,0,27148
27148,6,-100,27650
27650,6,-100,28652
28652,4,0,29155
29155,4,0,29659
29659,4,0,30163
30163,4,0,30667
30667,6,-100,31171
31171,6,-100,32176
32176,5,-25,32681
32681,5,-25,32687
32687,4,0,33193
33193,5,-25,33198
33198,6,-100,33705
33705,4,0,33711
33711,6,-100,34217
34217,6,-100,34224
34224,3,-25,33730
33730,6,-100,33736
33736,6,-100,33742
33742,4,0,33248
33248,5,-25,33254
33254,5,-25,32760
32760,3,-25,32265
32265,4,0,31769
31769,6,-100,31274
31274,4,0,30778
30778,5,-25,30281
30281,6,-100,29784
29784,4,0,28787
28787,3,-25,27789
27789,6,-100,27791
27791,6,-100,27293
27293,6,-100,26794
26794,5,-25,25794
25794,6,-100,25295
25295,6,-100,24795
24795,5,-25,24294
24294,3,-25,23293
23293,2,-100,22291
22291,5,-25,21789
21789,2,-100,20786
20786,4,0,19782
19782,5,-25,19278
19278,5,-25,18774
18774,4,0,18269
18269,3,-25,17263
17263,3,-25,16757
16757,3,-25,15751
15751,3,-25,15244
15244,4,0,14737
14737,4,0,14730
14730,2,-100,13722
13722,4,0,13714
13714,3,-25,13706
13706,5,-25,13698
13698,5,-25,13690
13690,5,-25,14183
14183,5,-25,14675
14675,2,-100,14668
14668,2,-100,14661
14661,4,0,15154
15154,5,-25,15647
15647,4,0,16141
16141,5,-25,17135
17135,3,-25,17630
17630,4,0,18126
18126,3,-25,18621
18621,4,0,19618
19618,5,-25,20615
20615,2,-100,21112
21112,3,-25,21610
21610,2,-100,22108
22108,5,-25,23106
23106,2,-100,23606
23606,2,-100,24105
24105,4,0,25105
25105,6,-100,26106
26106,6,-100,27108
27108,4,0,28110
28110,6,-100,29113
29113,5,-25,30117
30117,6,-100,31622
31622,6,-100,32627
32627,3,-25,33133
33133,6,-100,34139
34139,3,-25,34646
34646,5,-25,35153
35153,6,-100,36161
36161,6,-100,36670
36670,6,-100,37679
37679,4,0,37688
37688,4,0,38197
38197,4,0,38206
38206,5,-25,38216
38216,4,0,38225
38225,6,-100,38234
38234,4,0,37743
37743,3,-25,37252
37252,6,-100,37261
37261,3,-25,36769
36769,5,-25,36277
36277,4,0,35284
35284,5,-25,34791
