s,a,r,sp
17,4,0,7
7,1,0,8
8,2,0,9
9,1,0,10
10,2,0,10
10,4,0,10
10,1,0,9
9,2,0,19
19,2,0,18
18,1,10,17
17,2,0,18
18,2,10,19
19,3,0,29
29,3,0,28
28,1,0,29
29,2,0,30
30,1,0,20
20,2,0,20
20,1,0,30
30,3,0,40
40,3,0,50
50,4,0,40
40,4,0,30
30,1,0,20
20,3,0,10
10,1,0,9
9,1,0,10
10,1,0,20
20,1,0,19
19,3,0,29
29,2,0,30
30,3,0,20
20,2,0,20
20,1,0,19
19,1,0,18
18,4,10,28
28,3,0,18
18,2,10,19
19,2,0,20
20,4,0,10
10,2,0,10
10,3,0,20
20,1,0,19
19,3,0,29
29,3,0,39
39,1,0,29
29,3,0,30
30,1,0,20
20,2,0,20
20,1,0,19
19,1,0,29
29,2,0,28
28,1,0,27
27,2,0,28
28,4,0,18
18,4,10,8
8,2,0,7
7,1,0,6
6,1,0,16
16,4,0,15
15,2,0,16
16,1,0,15
15,2,0,14
14,4,0,4
4,2,0,5
5,3,0,6
6,3,0,7
7,2,0,8
8,4,0,8
8,3,0,7
7,3,0,17
17,3,0,16
16,1,0,15
15,3,0,25
25,1,0,24
24,2,0,23
23,3,0,33
33,4,0,23
23,3,0,33
33,2,0,34
34,3,0,44
44,1,0,43
43,3,3,53
53,1,0,52
52,1,0,51
51,2,0,41
41,2,0,42
42,3,0,32
32,3,0,42
42,4,0,32
32,3,0,33
33,2,0,43
43,1,3,42
42,2,0,43
43,1,3,44
44,1,0,43
43,1,3,42
42,1,0,43
43,4,3,33
33,4,0,23
91,4,0,81
81,1,0,81
81,4,0,71
71,3,0,72
72,2,0,73
73,1,0,72
72,1,0,82
82,4,0,72
72,4,0,73
73,4,0,63
63,3,0,73
73,3,0,83
83,3,0,84
84,1,0,83
83,4,0,93
93,1,0,92
92,2,0,93
93,1,0,92
92,2,0,82
82,2,0,92
92,1,0,82
82,3,0,92
92,1,0,91
91,2,0,81
81,2,0,91
91,3,0,91
